case_id,animalname,symptom,first_aid_advice,emergency
92,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
93,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
94,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
95,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
96,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
97,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
98,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
99,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
100,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
101,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
102,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
103,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
104,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
105,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
106,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
107,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
108,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
8,dog,loosened teeth,This symptom requires veterinary assessment. Please contact a veterinarian.,no
3,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
7,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
11,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
14,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
15,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
16,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
18,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
21,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
25,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
28,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
32,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
33,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
35,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
36,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
38,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
39,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
42,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
43,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
45,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
47,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
48,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
49,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
50,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
51,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
54,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
55,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
56,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
57,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
58,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
59,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
60,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
62,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
63,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
64,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
65,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
67,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
68,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
70,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
71,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
72,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
73,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
74,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
75,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
76,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
77,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
78,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
79,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
80,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
81,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
82,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
84,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
85,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
86,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
87,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
88,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
89,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
90,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
91,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
92,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
93,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
94,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
95,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
96,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
97,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
98,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
99,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
100,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
101,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
102,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
103,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
104,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
105,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
106,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
107,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
109,dog,loss of appetite,"Offer water and small bland meals. If appetite loss lasts more than 24 hours or comes with other symptoms, consult a veterinarian.",no
30,dog,muscle pain,"Restrict movement and keep your dog comfortable. If pain is sudden, severe, or ongoing, contact a veterinarian.",no
30,dog,muscle stiffness,Keep your dog warm and limit activity. Persistent or worsening stiffness should be checked by a veterinarian.,no
10,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
18,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
24,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
38,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
42,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
52,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
69,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
109,dog,nasal discharge,"Clean the nose gently and keep your dog rested. If discharge becomes thick, bloody, or breathing worsens, consult a veterinarian.",no
15,dog,neurologic abnormalities,This symptom requires veterinary assessment. Please contact a veterinarian.,no
22,dog,nose bleeds,This symptom requires veterinary assessment. Please contact a veterinarian.,no
2,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
10,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
16,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
17,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
24,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
26,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
33,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
34,dog,pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
26,dog,pneumonia,Keep your dog calm and warm. Breathing infections can be serious—seek veterinary care urgently.,yes
27,dog,poor coat appearance,This symptom requires veterinary assessment. Please contact a veterinarian.,no
11,dog,rapid heart rate,This symptom requires veterinary assessment. Please contact a veterinarian.,no
6,dog,seizures,"Remove nearby objects to prevent injury and do not touch the mouth. If the seizure lasts several minutes or repeats, go to emergency veterinary care.",yes
7,dog,skin lesions,"Clean gently and keep the area dry. Prevent licking or scratching. If lesions worsen or ooze, contact a veterinarian.",no
23,dog,skin lesions,"Clean gently and keep the area dry. Prevent licking or scratching. If lesions worsen or ooze, contact a veterinarian.",no
26,dog,skin lesions,"Clean gently and keep the area dry. Prevent licking or scratching. If lesions worsen or ooze, contact a veterinarian.",no
37,dog,skin lesions,"Clean gently and keep the area dry. Prevent licking or scratching. If lesions worsen or ooze, contact a veterinarian.",no
41,dog,skin lesions,"Clean gently and keep the area dry. Prevent licking or scratching. If lesions worsen or ooze, contact a veterinarian.",no
46,dog,skin lesions,"Clean gently and keep the area dry. Prevent licking or scratching. If lesions worsen or ooze, contact a veterinarian.",no
108,dog,skin lesions,"Clean gently and keep the area dry. Prevent licking or scratching. If lesions worsen or ooze, contact a veterinarian.",no
4,dog,sneezing,"Remove irritants and monitor. If sneezing continues or is paired with discharge or breathing trouble, consult a veterinarian.",no
18,dog,sneezing,"Remove irritants and monitor. If sneezing continues or is paired with discharge or breathing trouble, consult a veterinarian.",no
24,dog,sneezing,"Remove irritants and monitor. If sneezing continues or is paired with discharge or breathing trouble, consult a veterinarian.",no
53,dog,sneezing,"Remove irritants and monitor. If sneezing continues or is paired with discharge or breathing trouble, consult a veterinarian.",no
13,dog,stiffness,This symptom requires veterinary assessment. Please contact a veterinarian.,no
29,dog,straining,This symptom requires veterinary assessment. Please contact a veterinarian.,no
6,dog,sudden death,This symptom requires veterinary assessment. Please contact a veterinarian.,no
8,dog,swelling,Apply a cool compress briefly and prevent licking. Swelling of the face or breathing issues should be treated as an emergency.,no
10,dog,swelling,Apply a cool compress briefly and prevent licking. Swelling of the face or breathing issues should be treated as an emergency.,no
14,dog,swelling,Apply a cool compress briefly and prevent licking. Swelling of the face or breathing issues should be treated as an emergency.,no
16,dog,swelling,Apply a cool compress briefly and prevent licking. Swelling of the face or breathing issues should be treated as an emergency.,no
34,dog,swelling,Apply a cool compress briefly and prevent licking. Swelling of the face or breathing issues should be treated as an emergency.,no
43,dog,swelling,Apply a cool compress briefly and prevent licking. Swelling of the face or breathing issues should be treated as an emergency.,no
7,dog,swollen lymph nodes,This symptom requires veterinary assessment. Please contact a veterinarian.,no
9,dog,swollen lymph nodes,This symptom requires veterinary assessment. Please contact a veterinarian.,no
12,dog,swollen lymph nodes,This symptom requires veterinary assessment. Please contact a veterinarian.,no
7,dog,tarry stool,This symptom requires veterinary assessment. Please contact a veterinarian.,no
17,dog,tenesmus,This symptom requires veterinary assessment. Please contact a veterinarian.,no
9,dog,thirst and urination,This symptom requires veterinary assessment. Please contact a veterinarian.,no
8,dog,unable to eat,This symptom requires veterinary assessment. Please contact a veterinarian.,no
20,dog,unable to exercise,This symptom requires veterinary assessment. Please contact a veterinarian.,no
34,dog,unable to exercise,This symptom requires veterinary assessment. Please contact a veterinarian.,no
30,dog,upset stomach,"Pause food for a few hours and offer small sips of water. If vomiting starts or symptoms worsen, consult a veterinarian.",no
31,dog,upset stomach,"Pause food for a few hours and offer small sips of water. If vomiting starts or symptoms worsen, consult a veterinarian.",no
12,dog,vaginal discharge,This symptom requires veterinary assessment. Please contact a veterinarian.,no
1,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
3,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
25,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
26,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
27,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
28,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
29,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
30,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
35,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
36,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
39,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
40,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
44,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
46,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
48,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
49,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
51,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
54,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
55,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
57,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
58,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
60,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
61,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
62,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
63,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
64,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
65,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
66,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
67,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
68,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
70,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
71,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
72,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
73,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
74,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
77,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
80,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
81,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
83,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
84,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
85,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
87,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
88,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
89,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
91,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
92,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
93,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
95,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
96,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
98,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
99,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
100,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
101,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
102,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
103,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
105,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
106,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
107,dog,vomiting,Withhold food for several hours and offer small sips of water. Repeated vomiting or weakness needs veterinary care.,no
11,dog,weakness,Keep your dog warm and prevent movement. Sudden or severe weakness requires immediate veterinary attention.,yes
11,dog,weakness,Keep your dog warm and prevent movement. Sudden or severe weakness requires immediate veterinary attention.,yes
13,dog,weakness,Keep your dog warm and prevent movement. Sudden or severe weakness requires immediate veterinary attention.,yes
34,dog,weakness,Keep your dog warm and prevent movement. Sudden or severe weakness requires immediate veterinary attention.,yes
1,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
9,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
25,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
27,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
29,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
31,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
32,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
33,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
54,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
61,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
66,dog,weight loss,Monitor eating and drinking. Unexplained or ongoing weight loss should be checked by a veterinarian.,no
